"title" "author" "path" "date" "response"
"1" "[討論] 美國總統歐巴馬心目中八部必看的科幻電影" "jay5566" "/bbs/movie/M.1476596313.A.6C4.html" "10/16" "11"
"2" "[討論] 《地獄》劇情問題？(有雷)" "qaaq0008" "/bbs/movie/M.1476596946.A.60A.html" "10/16" "3"
"3" "[討論] 被嗆很少看電影" "asdeven" "/bbs/movie/M.1476597613.A.494.html" "10/16" "9"
"4" "[請益] 地獄有些地方想不通(有雷)" "dudeboy" "/bbs/movie/M.1476598506.A.881.html" "10/16" "2"
"5" "[情報] 《愛在他鄉》莎雪羅南主演葛莉塔潔薇導演出道作《Lady Bird" "qpr322" "/bbs/movie/M.1476598890.A.09E.html" "10/16" "2"
"6" "[  雷] 你的名字 個人見解+有雷心得" "machia045413" "/bbs/movie/M.1476600138.A.B34.html" "10/16" "2"
"7" "[好雷] 大宅們" "ftrain" "/bbs/movie/M.1476600342.A.64C.html" "10/16" "1"
"8" "[好而不雷] 超越吉卜力的神作-你的名字" "AirOctopus" "/bbs/movie/M.1476600627.A.B05.html" "10/16" "5"
"9" "Re: [請益] 地獄有些地方想不通(有雷)" "buddhabikini" "/bbs/movie/M.1476600892.A.286.html" "10/16" "3"
"10" "[請益] 巴黎走音天后值得進電影院看嗎？" "affiee" "/bbs/movie/M.1476602549.A.FEF.html" "10/16" "1"
"11" "[好雷] 你的名字  時間的糾纏" "linwahaha" "/bbs/movie/M.1476602726.A.E9F.html" "10/16" "1"
"12" "[好雷] 你的名字－當我們相遇，必定一眼認出彼此" "VCube" "/bbs/movie/M.1476603066.A.EE0.html" "10/16" ""
"13" "[公告]《各式疑難雜症FAQ》" "yunyun85106" "/bbs/movie/M.1397887191.A.BD0.html" " 4/19" "22"
"14" "[公告] 板規！必看！｜好文推薦‧惡文檢舉" "ericf129" "/bbs/movie/M.1468848054.A.77E.html" " 7/18" "爆"
"15" "[贈票] 《奇異博士》x電影神搜 贈票活動來囉！！" "ypdog" "/bbs/movie/M.1475841978.A.FCA.html" "10/07" "爆"
"16" "[贈票] 【重返心原點】Movie版專屬電影特映會" "CatchPlay" "/bbs/movie/M.1475231020.A.3B6.html" " 9/30" "爆"
